,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Other Current Assets,Change in Other Current Liabilities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
10,12/31/2020,"866,000","866,000","456,000",0,-,0,0,-,"159,000","159,000","154,000","5,000","5,000","13,000","13,000","687,000",-,-,"14,000","124,000","-587,000","-1,019,000","432,000","-637,000","-637,000","-119,000","22,000","-761,000","-3,724,000","2,963,000","208,000",-,"208,000",-,-,-,-,-,0,0,"13,000","3,288,000","3,288,000",-,"-760,000","-764,000",0,"-764,000","4,000",-,0,0,0,0,-,"-193,000","-168,000","-25,000","-2,000","12,733,000","3,517,000","9,216,000",-,-,-,0,0,"-803,000",0,"748,000"
11,9/30/2020,"658,000","658,000","314,000","-1,000",-,0,"-1,000",-,"103,000","103,000","103,000",0,0,"-43,000","-43,000","82,000",-,-,"11,000","428,000","-236,000","-506,000","270,000","2,100,000","2,100,000","54,000","147,000","156,000","-2,236,000","2,392,000","1,711,000",-,"1,711,000",-,-,-,-,-,0,0,"32,000","-988,000","-988,000",-,"-16,000","9,000","14,000","-5,000","-25,000",-,0,0,0,0,-,"-196,000","-168,000","-28,000","-79,000","9,216,000","1,770,000","7,446,000",-,-,-,0,"14,000","-5,000",0,"711,000"
12,6/30/2020,"-86,000","-86,000","253,000",-,-,0,"-3,000",-,"112,000","112,000","109,000","3,000","3,000","-74,000","-74,000","123,000",-,-,"2,000","464,000","-963,000","-1,432,000","469,000","1,169,000","1,169,000","-37,000","-195,000","840,000","-1,089,000","1,929,000","616,000",-,"616,000",-,-,-,-,-,0,0,"-55,000","2,305,000","2,305,000",-,"-8,042,000","-7,244,000","1,509,000","-8,753,000","-798,000",-,0,0,"395,000","395,000",-,"-190,000","-168,000","-22,000","-1,000","7,446,000","3,388,000","4,058,000",-,-,"-37,000","395,000","1,509,000","-8,753,000",0,"-123,000"
13,3/31/2020,"-1,327,000","-1,327,000","34,000",-,-,0,0,-,"204,000","204,000","201,000","3,000","3,000","-134,000","-134,000","-860,000",-,-,"21,000","600,000","-1,192,000","-1,022,000","-170,000","-8,768,000","-8,768,000","-16,000","17,000","-1,081,000","-2,222,000","1,141,000","-7,630,000",-,"-7,630,000",-,-,-,-,-,"-3,000","-3,000","-55,000","10,767,000","10,767,000",-,"3,080,000","2,300,000","6,800,000","-4,500,000","780,000",-,"-270,000","-270,000",0,0,-,"-191,000","-168,000","-23,000","-14,000","4,058,000","672,000","3,386,000",-,-,"-16,000",0,"6,800,000","-4,500,000","-270,000","-1,343,000"
14,12/31/2019,"727,000","727,000","450,000","-4,000",-,0,"-4,000",-,"193,000","193,000",-,-,-,"105,000","105,000","25,000",-,"-14,000","-3,000","110,000","-135,000","-333,000","198,000","-2,089,000","-2,089,000",-,"-139,000","1,129,000","-4,689,000","5,818,000","-2,800,000",-,"-2,800,000","-48,000","-48,000",0,"-90,000","-90,000",0,0,"-141,000","906,000","906,000","-602,000","1,047,000","1,249,000","5,550,000","-4,301,000","-202,000",-,"-400,000","-400,000","437,000","437,000",-,"-175,000","-158,000","-17,000",0,"3,386,000","-456,000","3,842,000",-,-,"-138,000","437,000","5,550,000","-4,301,000","-400,000","589,000"
15,9/30/2019,"393,000","393,000","449,000","-3,000",-,"1,000","-5,000",-,"165,000","165,000",-,-,-,"-31,000","-31,000","-226,000",-,"1,000","12,000","101,000","-75,000","-287,000","212,000","-498,000","-498,000",-,"28,000","164,000","-652,000","816,000","-728,000",-,"-728,000","-37,000","-37,000",0,"-52,000","-52,000",0,0,"127,000","912,000","912,000","-265,000","1,147,000","1,249,000","2,800,000","-1,551,000","-102,000",-,"-500,000","-500,000",0,0,-,"-180,000","-162,000","-18,000",0,"3,842,000","807,000","3,035,000",-,-,"-89,000",0,"2,800,000","-1,551,000","-500,000","304,000"
16,6/30/2019,"105,000","105,000","453,000","-9,000",-,"-1,000","-8,000",-,"141,000","141,000",-,-,-,"-9,000","-9,000","-587,000",-,"14,000","12,000","97,000","-7,000","-139,000","132,000","183,000","183,000",-,"-19,000","44,000","-2,130,000","2,174,000","241,000",-,"241,000","-25,000","-25,000",0,"-52,000","-52,000",0,0,"-6,000","311,000","311,000","464,000","44,000","-253,000","1,750,000","-2,003,000","297,000",-,"-120,000","-120,000","1,000","1,000",-,"-163,000","-148,000","-15,000","-3,000","3,035,000","599,000","2,436,000",-,-,"-77,000","1,000","1,750,000","-2,003,000","-120,000","28,000"
17,3/31/2019,"472,000","472,000","439,000","-13,000",-,"-6,000","-8,000",-,"134,000","134,000",-,-,-,"-1,000","-1,000","116,000",-,0,"20,000","85,000","-308,000","-97,000","-211,000","-1,471,000","-1,471,000",-,"-19,000","-238,000","-2,179,000","1,941,000","-1,047,000",-,"-1,047,000","15,000","-16,000","31,000","-46,000","-46,000","-129,000","-129,000","-7,000","-639,000","-639,000","-488,000","-4,402,000","-4,252,000","2,750,000","-7,002,000","-150,000",-,"-200,000","-200,000","292,000","292,000",-,"-164,000","-149,000","-15,000","-18,000","2,436,000","-1,638,000","4,074,000",-,-,"-62,000","292,000","2,750,000","-7,002,000","-200,000","410,000"
18,12/31/2018,"560,000","560,000","465,000","-6,000",-,-,"-6,000",-,"132,000","132,000",-,-,-,"74,000","74,000","144,000",-,0,"1,000","85,000","-335,000","-299,000","-36,000","-2,014,000","-2,014,000",-,"-6,000","307,000","-1,412,000","1,719,000","-2,167,000",-,"-2,167,000","-75,000","-75,000",-,"-62,000","-62,000",0,0,"-11,000","1,537,000","1,537,000","782,000","-1,608,000","496,000","5,000,000","-4,504,000","-2,104,000",-,"-300,000","-300,000","297,000","297,000",-,"-134,000","-127,000","-7,000",0,"4,074,000","83,000","3,991,000",-,-,"-137,000","297,000","5,000,000","-4,504,000","-300,000","423,000"
19,9/30/2018,"-208,000","-208,000","443,000","-2,000",-,-,"-3,000",-,"114,000","114,000",-,-,-,"13,000","13,000","-113,000",-,0,"12,000","78,000","-753,000","-1,201,000","448,000","-1,690,000","-1,690,000",-,"-28,000","289,000","-1,017,000","1,306,000","-1,286,000",-,"-1,286,000","-63,000","-63,000",-,"-59,000","-59,000",-,-,"-10,000","2,024,000","2,024,000","48,000","2,503,000","3,254,000","6,003,000","-2,749,000","-751,000",-,"-400,000","-400,000",0,0,-,"-129,000","-129,000",0,0,"3,991,000","126,000","3,865,000",-,-,"-122,000",0,"6,003,000","-2,749,000","-400,000","-330,000"
20,6/30/2018,"711,000","711,000","425,000","-1,000",-,-,"-2,000",-,"121,000","121,000",-,-,-,"2,000","2,000","-29,000",-,0,"10,000","85,000","98,000","-48,000","146,000","-2,255,000","-2,255,000",-,"28,000","-166,000","-1,462,000","1,296,000","-1,972,000",-,"-1,972,000","-62,000","-62,000",-,"-75,000","-75,000",-,-,"-8,000","1,550,000","1,550,000","11,000","164,000","916,000","5,250,000","-4,334,000","-752,000",-,"-150,000","-150,000",-,-,-,"-114,000","-107,000",-,0,"3,865,000","6,000","3,859,000",-,-,"-137,000",-,"5,250,000","-4,334,000","-150,000","574,000"
21,3/31/2018,"704,000","704,000","388,000","-7,000",-,-,"-8,000",-,"122,000","122,000",-,-,-,"8,000","8,000","24,000",-,"-3,000","18,000","78,000","76,000","331,000","-255,000","-1,118,000","-1,118,000",-,"50,000","-46,000","-1,295,000","1,249,000","-1,020,000",-,"-1,020,000","-32,000","-32,000",-,"-57,000","-57,000",-,-,"-13,000","1,241,000","1,241,000","-500,000","1,396,000","3,000,000","6,250,000","-3,250,000","-1,604,000",-,"-175,000","-175,000",-,-,-,"-108,000","-108,000",-,"-13,000","3,859,000","827,000","3,032,000",-,-,"-89,000",-,"6,250,000","-3,250,000","-175,000","615,000"
22,12/31/2017,"433,000","433,000","666,000","-18,000",-,0,"-2,000",-,"114,000","114,000",-,-,-,"-113,000","-113,000","15,000","2,000","-1,000","13,000","83,000","-328,000","-347,000","19,000","-60,000","-60,000",-,"95,000","127,000","-1,439,000","1,566,000","-85,000",-,"-85,000","-138,000","-138,000",0,"-49,000","-49,000",-,-,"-10,000","539,000","539,000","362,000","-1,246,000","2,005,000","3,255,000","-1,250,000","-3,251,000",-,"-335,000","-335,000",-,-,-,"-96,000","-89,000","-7,000",0,"3,032,000","912,000","2,120,000",-,-,"-187,000",-,"3,255,000","-1,250,000","-335,000","246,000"
23,9/30/2017,"913,000","913,000","348,000","-1,000",-,0,"-2,000",-,"131,000","131,000",-,-,-,"-3,000","-3,000","46,000","-18,000",0,"8,000","72,000","330,000","-187,000","517,000","-2,039,000","-2,039,000",-,"146,000","-305,000","-1,982,000","1,677,000","-1,764,000",-,"-1,764,000","-51,000","-51,000",0,"-55,000","-55,000",-,-,"-10,000","-921,000","-921,000","24,000","-251,000","249,000","1,999,000","-1,750,000","-500,000",-,"-225,000","-225,000",-,-,-,"-90,000","-90,000",0,"-1,000","2,120,000","-2,047,000","4,167,000",-,-,"-106,000",-,"1,999,000","-1,750,000","-225,000","807,000"
24,6/30/2017,"-316,000","-316,000","318,000",0,-,0,"-4,000",-,"132,000","132,000",-,-,-,"-59,000","-59,000","-61,000","2,000","-1,000","9,000","70,000","-726,000","-250,000","-476,000","-742,000","-742,000",-,"-82,000","463,000","-937,000","1,400,000","-1,016,000",-,"-1,016,000","-50,000","-50,000",0,"-44,000","-44,000",-,-,"-13,000","1,232,000","1,232,000","-664,000","603,000","1,361,000","7,112,000","-5,751,000","-758,000",-,"-130,000","-130,000",-,-,-,"-78,000","-71,000",-,0,"4,167,000","174,000","3,993,000",-,-,"-94,000",-,"7,112,000","-5,751,000","-130,000","-410,000"
25,3/31/2017,"853,000","853,000","320,000","-3,000",-,0,"-4,000",-,"125,000","125,000",-,-,-,"39,000","39,000","156,000","-1,000",0,"18,000","96,000","103,000","282,000","-179,000","-1,143,000","-1,143,000",-,"88,000","-398,000","-1,933,000","1,535,000","-769,000",-,"-769,000","-14,000","-14,000",0,"-39,000","-39,000",-,-,"-11,000","579,000","579,000","-55,000","-1,453,000","-1,003,000","2,997,000","-4,000,000","-450,000",-,"-130,000","-130,000",-,-,-,"-72,000","-72,000",-,"-19,000","3,993,000","289,000","3,704,000",-,-,"-53,000",-,"2,997,000","-4,000,000","-130,000","800,000"
26,12/31/2016,"292,000","292,000","282,000","-77,000",-,0,"-6,000",-,"136,000","136,000",-,-,-,"10,000","10,000","-55,000","-14,000","-10,000","8,000","102,000","-90,000","31,000","-121,000","-2,627,000","-2,627,000",-,"281,000","-413,000","-3,014,000","2,601,000","-2,350,000",-,"-2,350,000","-94,000","-94,000",0,"-39,000","-39,000",-,-,"-12,000","3,124,000","3,124,000","248,000","1,648,000","3,199,000","5,500,000","-2,301,000","-1,551,000",-,"-180,000","-180,000",-,-,-,"-69,000","-62,000","-7,000",-,"3,704,000","789,000","2,915,000",-,-,"-133,000",-,"5,500,000","-2,301,000","-180,000","159,000"
27,9/30/2016,"494,000","494,000","297,000","3,000",-,0,0,-,"142,000","142,000",-,-,-,"49,000","49,000","-33,000","-10,000","2,000","4,000","86,000","-46,000","145,000","-191,000","-3,062,000","-3,062,000",-,"7,000","-1,314,000","-3,054,000","1,740,000","-1,679,000",-,"-1,679,000","-22,000","-22,000",0,"-41,000","-41,000",-,-,"-13,000","1,828,000","1,828,000","183,000","-113,000","152,000","2,649,000","-2,497,000","-265,000",-,"-250,000","-250,000",-,-,-,"-62,000","-62,000",0,-,"2,915,000","-740,000","3,655,000",-,-,"-63,000",-,"2,649,000","-2,497,000","-250,000","431,000"
28,6/30/2016,"330,000","330,000","243,000","3,000",-,0,"-4,000",-,"133,000","133,000",-,-,-,"64,000","64,000","-87,000","1,000","-1,000","7,000","90,000","-123,000","-111,000","-12,000","-3,316,000","-3,316,000",-,"-193,000","-414,000","-1,737,000","1,323,000","-2,644,000",-,"-2,644,000","-14,000","-14,000",0,"-40,000","-40,000",-,-,"-11,000","4,786,000","4,786,000","3,000","1,203,000","3,243,000","6,245,000","-3,002,000","-2,040,000",-,-,-,-,-,-,"-71,000","-64,000",-,-,"3,655,000","1,800,000","1,855,000",-,-,"-54,000",-,"6,245,000","-3,002,000",-,"276,000"
29,3/31/2016,"374,000","374,000","223,000","-10,000",-,"-2,000","-9,000",-,"112,000","112,000",-,-,-,"30,000","30,000","-22,000","15,000","5,000","4,000","91,000","-74,000","-339,000","265,000","-2,321,000","-2,321,000",-,"-178,000","320,000","-794,000","1,114,000","-2,401,000",-,"-2,401,000","-5,000","-8,000","3,000","-45,000","-45,000",-,-,"-12,000","717,000","717,000","-88,000","791,000","121,000","750,000","-629,000","670,000",-,-,-,-,-,-,"-53,000","-53,000",-,-,"1,855,000","-1,230,000","3,085,000",-,-,"-53,000",-,"750,000","-629,000",-,"321,000"
30,12/31/2015,"398,000","398,000","221,000","-11,000",-,0,"-10,000",-,"121,000","121,000",-,-,-,"173,000","173,000",-,"4,000","-3,000","2,000","91,000","-317,000","-161,000","-156,000","-1,709,000","-1,709,000",-,"7,000","99,000","-1,592,000","1,691,000","-1,704,000",-,"-1,704,000","-64,000","-67,000","3,000","-36,000","-36,000",-,-,"-11,000","2,640,000","2,640,000","-491,000","2,511,000","5,742,000","6,500,000","-758,000","-3,231,000",-,0,0,0,0,-,"-53,000","-53,000",0,-,"3,085,000","1,329,000","1,756,000",-,-,"-103,000",0,"6,500,000","-758,000",0,"295,000"
31,9/30/2015,"316,000","316,000","220,000","-9,000",0,"-9,000","-2,000",0,"116,000","116,000",-,-,-,"20,000","20,000","-8,000","4,000","1,000","7,000","76,000","-111,000","-168,000","57,000","774,000","774,000",-,"-177,000","1,767,000","-1,457,000","3,224,000","-742,000",-,"-742,000","-14,000","-11,000","-3,000","-50,000","-50,000",-,-,"-10,000","-2,203,000","-2,203,000","-2,491,000","-653,000","248,000","250,000","-2,000","-901,000",-,"-250,000","-250,000",0,0,-,"-60,000","-53,000",-,-,"1,756,000","-1,113,000","2,869,000",-,-,"-61,000",0,"250,000","-2,000","-250,000","255,000"
32,6/30/2015,"417,000","417,000","190,000","-8,000",-,0,"-10,000",-,"121,000","121,000",-,-,-,"42,000","42,000","-50,000","5,000","-6,000","9,000","77,000","37,000","-2,000","39,000","-3,230,000","-3,230,000",-,"429,000","-1,195,000","-2,537,000","1,342,000","-2,390,000",-,"-2,390,000","-21,000","-25,000","4,000","-45,000","-45,000",-,-,"-8,000","678,000","678,000","-637,000","-254,000","-3,000",-,"-3,000","-251,000",-,-,-,-,-,-,"-53,000","-53,000",-,-,"2,869,000","-2,135,000","5,004,000",-,-,"-70,000",-,-,"-3,000",-,"347,000"
33,3/31/2015,"98,000","98,000","209,000","-9,000",-,0,"-10,000",-,"113,000","113,000",-,-,-,"14,000","14,000","-59,000","4,000","-1,000","6,000","58,000","-237,000","-136,000","-101,000","-1,740,000","-1,740,000",-,"-245,000","-250,000","-2,377,000","2,127,000","-1,183,000",-,"-1,183,000","-7,000","-18,000","11,000","-47,000","-47,000",-,-,"-8,000","3,370,000","3,370,000","145,000","-3,000","-3,000",-,"-3,000",0,-,-,-,-,-,-,"-55,000","-55,000",-,-,"5,004,000","1,728,000","3,276,000",-,-,"-65,000",-,-,"-3,000",-,"33,000"
34,12/31/2014,"190,000","190,000","197,000","11,000",0,"9,000","-1,000",0,"73,000","73,000",-,-,-,"110,000","110,000","-38,000","10,000","3,000","24,000","72,000","-272,000","1,745,000","-2,017,000","-2,874,000","-2,874,000",-,"-78,000","314,000","-2,685,000","2,999,000","-2,780,000",-,"-2,780,000","-119,000","-93,000","-26,000","-54,000","-54,000",-,-,"-157,000","3,071,000","3,071,000","-908,000","2,124,000","2,584,000","2,583,000","1,000","-460,000",-,-,-,-,-,-,"-55,000","-55,000",-,-,"3,276,000","387,000","2,889,000","190,000","90,000","-147,000",-,"2,583,000","1,000",-,"43,000"
35,9/30/2014,"179,000","179,000","189,000","6,000",0,"7,000","-2,000",0,"117,000","117,000",-,-,-,"-5,000","-5,000","-46,000","12,000","-5,000",-,"77,000","-195,000","-2,097,000","1,902,000","-1,790,000","-1,790,000",-,"17,000","198,000","-1,328,000","1,526,000","-1,949,000",-,"-1,949,000","-11,000","-11,000",0,"-36,000","-36,000",-,-,"-9,000","-856,000","-856,000","-1,623,000","-657,000","331,000","333,000","-2,000","-988,000",-,-,-,-,-,-,"-383,000","-383,000",-,-,"2,889,000","-2,467,000","5,356,000",-,-,"-47,000",-,"333,000","-2,000",-,"132,000"
36,6/30/2014,"321,000","321,000","313,000","10,000",-,"10,000",0,-,"100,000","100,000",-,-,-,"-22,000","-22,000","-327,000","12,000","1,000",-,"49,000","185,000","-223,000","408,000","-574,000","-574,000",-,"-10,000","173,000","-689,000","862,000","-685,000",-,"-685,000","-1,000","-30,000",-,"-40,000","-40,000",-,-,"-11,000","2,757,000","2,757,000","727,000","3,081,000","331,000",-,"-2,000","2,750,000",-,-,-,-,-,-,"-343,000","-343,000",-,-,"5,356,000","2,504,000","2,852,000",-,-,"-70,000",-,-,"-2,000",-,"251,000"
37,3/31/2014,"700,000","700,000","166,000","-20,000",-,"1,000","-25,000",-,"96,000","96,000",-,-,-,"58,000","58,000","45,000","12,000","-4,000",-,"121,000","226,000","280,000","-54,000","-5,036,000","-5,036,000",-,"-66,000","-3,426,000","-4,871,000","1,445,000","-1,486,000",-,"-1,486,000","-7,000","-7,000",-,"-40,000","-40,000",-,-,"-11,000","4,431,000","4,431,000","1,289,000","2,697,000","-3,000",-,"-3,000","2,700,000",-,-,-,-,-,-,"-25,000","-25,000",-,-,"2,852,000","95,000","2,757,000",-,-,"-47,000",-,-,"-3,000",-,"653,000"
38,12/31/2013,"1,013,000","1,013,000","152,000","-23,000",0,"1,000","-25,000",-,"100,000","100,000",-,-,-,"57,000","57,000","109,000","16,000","-5,000",-,"132,000","499,000","297,000","202,000","-2,671,000","-2,671,000",-,"3,000","-937,000","-2,393,000","1,456,000","-1,630,000",-,"-1,630,000","-225,000","-250,000","25,000",-,-,-,-,"-11,000","1,833,000","1,833,000","1,932,000","2,025,000","339,000","336,000","3,000","1,686,000",-,-,-,-,-,-,"-374,000","-374,000",-,-,"2,757,000","175,000","2,582,000",-,-,"-121,000",-,"336,000","3,000",-,"892,000"
